emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
therapist ,1,CA,RENT,105000,Source Verified,12.93,NA,,NA,0,48,1994,5,30,12,90110,68045,0,0,NA,0,0,5,6,6,12,0,0,1,3400,13,7,4,3,90,0,0,credit_card,individual,20000,60,14.08,466.2,C,C3,Feb-2018,Current,whole,Cash,19298.23,1382.96,701.77,681.19,0
plan sponsor service consultant,10,PA,RENT,50000,Not Verified,9.22,NA,,NA,0,NA,1988,0,13,7,29100,16536,0,0,NA,0,0,0,2,18,7,0,0,5,23100,11,7,6,0,100,0,0,credit_card,individual,9000,36,11.99,298.89,B,B5,Feb-2018,Current,fractional,Cash,8151.53,1189.56,848.47,341.09,0
hvac mechanic,7,FL,MORTGAGE,60000,Source Verified,27.06,NA,,NA,0,77,2004,2,23,13,94036,44347,0,1,NA,0,0,3,4,11,13,0,0,3,17400,16,10,5,0,95.7,0,1,debt_consolidation,individual,10000,36,11.99,332.1,B,B5,Jan-2018,Current,whole,Cash,8815.65,1703.8,1184.35,519.45,0
supervisor,10,NM,MORTGAGE,72000,Source Verified,4.53,NA,,NA,1,10,2000,0,11,3,332152,8175,0,0,67,0,0,0,1,19,3,0,0,1,8500,4,1,1,3,72.7,0,0,debt_consolidation,individual,15000,60,15.04,357.17,C,C4,Mar-2018,Current,whole,Cash,14486.1,1058.98,513.9,545.08,0
"sr mgr, na maintenance & facility eng",3,WA,RENT,101000,Source Verified,27.77,NA,,NA,0,NA,1988,1,24,10,107306,54328,0,0,NA,0,0,3,5,10,10,0,0,4,36500,14,7,6,0,100,0,0,medical,individual,5000,36,9.93,161.18,B,B2,Jan-2018,Current,whole,Cash,4390.98,803.14,609.02,194.12,0
therapist,9,GA,MORTGAGE,80000,Not Verified,9.58,NA,,NA,0,78,1994,1,25,14,110801,100850,0,0,78,0,0,5,5,8,14,0,0,6,19600,13,8,7,0,100,0,0,credit_card,individual,24000,36,10.91,784.71,B,B4,Mar-2018,Current,whole,Cash,22284.97,2397.77,1715.03,682.74,0
administrative secretary ,10,CA,RENT,69108,Source Verified,17.36,NA,,NA,0,NA,2006,1,11,6,54357,26201,0,1,NA,0,0,2,3,12,6,0,0,4,24000,7,4,4,0,100,0,1,credit_card,individual,10000,36,7.97,313.23,A,A5,Jan-2018,Current,fractional,Cash,8339.05,1992.72,1660.95,331.77,0
asmt,10,FL,RENT,35000,Source Verified,21.5,NA,,NA,0,74,2000,2,20,10,30795,18837,0,0,74,0,0,2,2,4,10,0,0,2,6000,14,8,5,1,95,0,0,other,individual,6500,36,11.98,215.84,B,B5,Mar-2018,Current,fractional,Cash,6042.62,638.87,457.38,181.49,0
realtor property manager,8,NV,RENT,34000,Not Verified,37.95,79000,Not Verified,16.86,0,NA,2004,5,29,26,125346,42159,0,1,NA,0,0,3,11,1,26,0,0,3,61800,26,23,5,0,100,0,1,debt_consolidation,joint,18000,60,12.61,405.98,C,C1,Mar-2018,Current,whole,Cash,17342.65,1148.59,657.35,491.24,0
,NA,NY,OWN,46000,Not Verified,11.32,NA,,NA,0,NA,1995,1,42,8,21701,10887,0,0,NA,0,0,2,9,10,8,0,0,3,4500,11,6,4,0,100,0,0,credit_card,individual,2500,36,10.9,81.73,B,B4,Mar-2018,Current,whole,Cash,2321.32,243.68,178.68,65,0
maintenance,10,AL,MORTGAGE,60000,Source Verified,23.58,NA,,NA,0,35,2001,1,27,6,221712,54852,0,0,35,0,0,1,2,8,6,0,0,2,17500,13,3,2,1,96.3,0,0,home_improvement,individual,4000,36,13.59,135.92,C,C2,Jan-2018,Current,whole,Cash,3631.32,540.66,368.68,171.98,0
speech pathologist supervisor,3,SC,MORTGAGE,86000,Verified,20.32,NA,,NA,0,NA,1997,1,32,17,303755,42222,0,0,NA,0,0,2,4,11,17,0,0,0,113900,18,14,0,4,100,0,0,debt_consolidation,individual,40000,36,5.32,1204.6,A,A1,Jan-2018,Current,whole,Cash,35863.53,4806.58,4136.47,670.11,0
operating engineer,3,CT,RENT,90000,Not Verified,21.29,NA,,NA,0,35,2004,1,19,12,113941,76824,0,0,35,0,0,8,4,10,12,0,0,4,34200,4,4,4,0,94.7,0,0,debt_consolidation,individual,10000,36,19.03,366.72,D,D3,Jan-2018,Current,fractional,Cash,8734.68,2002.46,1265.32,737.14,0
,NA,FL,RENT,9000,Verified,18.86,NA,,NA,0,52,1982,1,14,6,9200,1607,0,0,52,0,0,0,1,10,6,0,0,3,8000,12,5,3,0,92.3,0,0,other,individual,5000,36,13.59,169.9,C,C2,Jan-2018,Current,whole,Cash,4539.36,700.37,460.64,239.73,0
engineer,5,CA,MORTGAGE,101000,Verified,14.4,NA,,NA,0,29,1999,6,34,18,986396,77601,0,0,NA,0,156,3,10,3,18,0,0,7,69500,23,14,12,3,94.1,0,0,debt_consolidation,individual,15000,36,10.41,486.91,B,B3,Mar-2018,Current,whole,Cash,13920.33,1443.38,1079.67,363.71,0
hotel manager,4,IN,OWN,90000,Source Verified,10.27,NA,,NA,0,NA,2006,2,15,10,72136,23352,0,0,NA,0,874,2,3,1,10,0,0,1,33500,8,7,4,0,100,0,0,debt_consolidation,individual,40000,60,11.99,889.58,B,B5,Feb-2018,Current,whole,Cash,26957.82,14531.68,13042.18,1489.5,0
,NA,NJ,MORTGAGE,75000,Not Verified,19.75,NA,,NA,0,65,2001,3,27,15,369983,30126,0,0,NA,0,0,3,6,2,15,0,0,7,52000,12,10,7,6,96,0,0,debt_consolidation,individual,10000,36,6.08,304.59,A,A2,Feb-2018,Current,fractional,Cash,8976.56,1214.98,1023.44,191.54,0
postdoctoral research associate,2,IL,RENT,54000,Source Verified,6.31,NA,,NA,0,NA,2008,1,9,3,22200,14527,0,0,NA,0,0,0,0,10,3,0,0,1,9700,6,3,2,0,100,0,0,major_purchase,individual,3000,36,9.44,96.02,B,B1,Jan-2018,Current,fractional,Cash,1356.53,1761.17,1643.47,117.7,0
project controls,4,TX,OWN,87000,Verified,18.48,NA,,NA,0,52,2010,1,48,7,26050,15709,0,0,52,0,0,2,6,5,7,0,0,1,2000,38,5,4,0,97.9,0,0,credit_card,individual,8000,36,14.07,273.7,C,C3,Mar-2018,Current,whole,Cash,7453.95,808.59,546.05,262.54,0
systems administrator,2,SC,MORTGAGE,140000,Source Verified,16.15,280000,Source Verified,9.36,0,NA,2004,8,45,11,361604,78656,0,0,NA,0,0,3,12,2,11,0,0,3,7400,22,7,7,1,100,0,0,credit_card,joint,28000,36,10.42,909.02,B,B3,Jan-2018,Current,whole,Cash,24614.42,4504.58,3385.58,1119,0
senior brand manager,8,MA,RENT,100000,Verified,9.16,NA,,NA,1,14,2005,2,28,7,44172,27826,0,0,NA,0,0,0,3,0,6,NA,0,6,35500,22,5,2,0,96,0,0,credit_card,individual,20000,36,9.93,644.69,B,B2,Jan-2018,Current,fractional,Cash,17564.06,3135.19,2435.94,699.25,0
flight dispatcher ,3,TX,MORTGAGE,102000,Not Verified,28.68,NA,,NA,0,NA,2005,2,28,14,368610,78912,0,0,NA,0,0,6,3,9,14,0,0,3,28800,13,7,3,1,100,0,0,debt_consolidation,individual,14000,36,10.9,457.68,B,B4,Mar-2018,Current,whole,Cash,12999.43,1364.56,1000.57,363.99,0
loan officer,7,OR,MORTGAGE,135000,Source Verified,15.95,NA,,NA,0,NA,2006,6,42,21,590926,101479,0,1,NA,0,0,1,14,1,21,0,0,8,54200,27,18,13,3,100,0,1,debt_consolidation,individual,40000,36,6.71,1229.79,A,A3,Mar-2018,Current,whole,Cash,36964.72,3659.55,3035.28,624.27,0
electrician,3,VA,RENT,72500,Verified,15.74,NA,,NA,0,37,2007,7,24,17,96881,23632,0,0,NA,0,0,2,8,1,17,0,0,10,42000,16,15,14,0,95.8,0,0,moving,individual,1500,36,9.44,48.01,B,B1,Feb-2018,Current,whole,Cash,1353.44,190.47,146.56,43.91,0
service expert ,0,MD,RENT,50000,Source Verified,15.67,NA,,NA,0,NA,2014,2,9,7,57162,33499,0,0,NA,0,0,1,6,6,7,0,0,2,26500,7,6,3,0,100,0,0,debt_consolidation,individual,13000,36,7.34,403.43,A,A4,Mar-2018,Current,whole,DirectPay,12024.3,1219.86,975.7,223.99,20.17
truck driver,0,TX,RENT,98000,Source Verified,21.19,NA,,NA,0,NA,2015,11,12,8,103759,87317,0,0,NA,0,0,4,8,1,8,0,0,1,6000,6,4,4,0,100,0,0,small_business,individual,15000,36,20.39,560.44,D,D4,Mar-2018,Current,fractional,Cash,14067.64,1664.33,932.36,731.97,0
account manager,10,KS,MORTGAGE,82000,Not Verified,32.1,NA,,NA,0,NA,1997,0,13,9,200100,79922,0,0,NA,0,0,1,1,17,9,0,0,5,60900,10,7,6,2,100,0,0,debt_consolidation,individual,5000,36,19.42,184.35,D,D3,Feb-2018,Current,whole,Cash,4576.11,732.01,423.89,308.12,0
owner,10,GA,MORTGAGE,150000,Verified,33.45,225000,Source Verified,32.5,0,NA,1983,2,29,12,650351,164269,0,0,NA,0,0,3,6,6,12,0,0,3,85000,14,7,3,4,100,0,0,debt_consolidation,joint,40000,36,11.98,1328.2,B,B5,Mar-2018,Current,whole,Cash,38132.99,2656.41,1867.01,789.4,0
stylist,6,CT,RENT,18000,Verified,58.53,80000,Verified,20.07,2,9,2003,0,13,5,53608,38609,0,0,NA,0,0,2,1,20,5,0,0,2,11300,9,3,2,0,84.6,0,0,debt_consolidation,joint,20000,36,17.09,713.96,D,D1,Feb-2018,Current,whole,Cash,18246.48,2836.85,1753.52,1083.33,0
property manager ,3,AZ,RENT,76000,Verified,9.44,NA,,NA,0,NA,2005,2,21,10,39716,20623,0,1,NA,0,339,3,6,2,10,0,0,4,16900,14,7,4,2,86.7,0,1,credit_card,individual,10000,36,9.43,320.01,B,B1,Mar-2018,Current,whole,Cash,9515.25,629.54,484.75,144.79,0
lift driver ,2,CA,RENT,45000,Verified,34.91,63895,Source Verified,24.58,0,NA,2013,1,12,8,82779,65436,0,0,NA,0,0,3,5,9,8,0,0,1,700,7,5,3,0,100,0,0,debt_consolidation,joint,20000,60,24.85,585.27,E,E3,Jan-2018,Current,whole,Cash,19108.31,2898.74,891.69,2007.05,0
,NA,AL,MORTGAGE,58000,Not Verified,25.37,NA,,NA,0,81,1992,5,38,12,167771,60302,0,1,NA,0,0,3,10,2,12,0,0,3,27000,13,8,3,3,97.4,0,1,credit_card,individual,20000,36,16.02,703.34,C,C5,Feb-2018,Current,whole,Cash,18673.43,2163.42,1326.57,836.85,0
project manager,10,NJ,MORTGAGE,92000,Not Verified,18.41,NA,,NA,0,81,2002,0,32,17,336709,29973,0,0,NA,0,225,2,3,NA,17,0,0,3,63400,24,13,5,3,96.9,0,0,debt_consolidation,individual,16000,36,5.31,481.77,A,A1,Mar-2018,Current,whole,Cash,14761.63,1440.59,1238.37,202.22,0
loan officer assistant,0,VA,RENT,60000,Source Verified,1.85,NA,,NA,2,19,1997,0,29,8,11200,1473,0,0,19,0,0,0,2,22,8,0,0,0,3500,29,8,3,0,69,0,0,other,individual,10000,36,7.35,310.38,A,A4,Jan-2018,Current,fractional,Cash,8739,1541.69,1261,280.69,0
national sales manager,10,FL,MORTGAGE,144000,Source Verified,9.81,NA,,NA,0,24,1987,6,31,17,306048,42895,0,1,NA,0,0,1,4,7,17,0,0,7,38200,26,14,9,2,96.8,0,1,debt_consolidation,individual,25000,60,15.04,595.28,C,C4,Mar-2018,Current,whole,Cash,24143.99,1909.99,856.01,1053.98,0
sales,3,ND,MORTGAGE,104000,Not Verified,13.14,NA,,NA,0,79,1988,8,22,9,221397,53428,0,1,NA,0,341,2,5,3,9,0,0,3,9300,12,6,6,3,88.2,0,1,credit_card,individual,9000,36,14.08,307.95,C,C3,Jan-2018,Current,whole,Cash,7964.23,1525.67,1035.77,489.9,0
certified medical assistant,3,MN,MORTGAGE,38000,Source Verified,15.07,76000,Source Verified,12.51,0,NA,2006,1,20,10,302236,28245,0,0,NA,0,0,1,3,9,10,0,0,1,9500,11,8,1,2,100,0,0,medical,joint,29000,60,9.93,615.17,B,B2,Jan-2018,Current,whole,Cash,27092.72,3059.85,1907.28,1152.57,0
operator,10,MO,MORTGAGE,75000,Not Verified,30.69,NA,,NA,0,37,2004,2,25,8,282801,58091,0,0,NA,0,648,4,5,9,8,0,0,2,7000,7,3,2,4,96,0,0,debt_consolidation,individual,28000,36,17.09,999.54,D,D1,Feb-2018,Current,whole,Cash,25545.08,3971.58,2454.92,1516.66,0
doorman ,10,NY,RENT,55000,Not Verified,14.16,NA,,NA,0,NA,2001,1,15,5,43467,15291,0,0,NA,0,0,2,1,12,5,0,0,2,12000,12,3,2,0,100,0,0,debt_consolidation,individual,10000,36,7.35,310.38,A,A4,Jan-2018,Current,whole,Cash,8994.29,1237.44,1005.71,231.73,0
cover driver,9,CA,RENT,60000,Not Verified,12.5,NA,,NA,0,NA,2002,1,11,10,49500,14311,0,0,NA,0,0,2,5,11,10,0,0,5,38000,8,8,5,0,100,0,0,debt_consolidation,individual,16800,36,5.32,505.93,A,A1,Jan-2018,Current,whole,Cash,15062.69,2018.75,1737.31,281.44,0
coffee roaster,2,NY,RENT,57200,Not Verified,3.15,NA,,NA,0,NA,2010,1,11,8,37500,5575,0,0,NA,0,0,0,6,4,8,0,0,4,37300,10,7,4,0,100,0,0,debt_consolidation,individual,5150,36,5.32,155.1,A,A1,Jan-2018,Current,whole,DirectPay,4482.77,773.22,667.23,105.99,0
obedience trainer,3,OR,MORTGAGE,32000,Not Verified,32.33,NA,,NA,0,NA,2007,0,12,7,43302,26443,0,0,NA,0,0,2,2,NA,7,0,0,3,22700,9,5,3,0,100,0,0,debt_consolidation,individual,15000,36,10.41,486.91,B,B3,Mar-2018,Current,whole,Cash,13920.33,1452.05,1079.67,372.38,0
owner,10,MN,MORTGAGE,425000,Source Verified,11.41,NA,,NA,1,20,1997,0,22,14,428235,84832,0,0,29,0,0,5,4,16,14,0,0,7,46200,12,8,7,1,90.9,0,0,debt_consolidation,individual,14900,36,9.93,480.3,B,B2,Jan-2018,Current,whole,Cash,13085.2,2393.28,1814.8,578.48,0
coordinator,1,TX,RENT,40000,Source Verified,16.53,NA,,NA,0,NA,2009,2,15,6,60437,63252,0,0,NA,0,698,3,2,6,6,0,0,2,5000,4,3,2,0,100,0,0,credit_card,individual,2500,36,11.99,83.03,B,B5,Jan-2018,Fully Paid,whole,Cash,0,2534.455804413,2500,34.46,0
,NA,VA,RENT,58000,Not Verified,23.36,NA,,NA,0,45,1996,1,38,10,23900,6335,0,0,45,0,0,0,6,5,10,0,0,4,13700,30,10,5,1,89.5,0,0,debt_consolidation,individual,15000,36,10.91,490.45,B,B4,Jan-2018,Current,whole,Cash,13197.14,2443.16,1802.86,640.3,0
of counsel,10,CA,MORTGAGE,315000,Source Verified,4.41,NA,,NA,0,40,2003,3,21,7,726766,34794,0,0,40,0,0,1,6,6,7,0,0,1,21000,11,5,4,9,95,0,0,home_improvement,individual,40000,36,10.9,1307.66,B,B4,Mar-2018,Current,whole,Cash,37141.21,3789.76,2858.79,930.97,0
police officer,6,NJ,MORTGAGE,102000,Source Verified,11.39,157000,,15.67,0,NA,2008,3,15,11,382018,30541,0,0,NA,0,0,2,4,6,11,0,0,5,63600,11,8,6,2,100,0,0,credit_card,joint,40000,60,9.93,848.51,B,B2,Jan-2018,Current,whole,DirectPay,37369.27,4220.48,2630.73,1589.75,0
supervisor,10,CA,RENT,90540,Source Verified,15.92,NA,,NA,0,39,1986,2,24,18,41593,28263,0,1,39,0,0,1,9,8,18,0,0,8,13800,18,17,15,0,95.8,0,1,debt_consolidation,individual,20000,36,14.07,684.24,C,C3,Mar-2018,Current,fractional,Cash,19095.25,1352.85,904.75,448.1,0
community director,8,FL,RENT,70000,Source Verified,14.04,NA,,NA,0,81,2004,2,16,6,46003,34273,0,0,81,0,0,1,7,2,6,0,0,2,8500,11,5,4,0,93.3,0,0,debt_consolidation,individual,15000,36,20.39,560.44,D,D4,Mar-2018,Current,whole,Cash,14067.64,1647.34,932.36,714.98,0
instructional designer ,10,WV,MORTGAGE,61538,Source Verified,7.7,NA,,NA,0,NA,1991,0,14,8,179548,12692,0,1,NA,0,0,0,5,NA,7,0,0,3,14500,11,7,5,1,100,0,1,debt_consolidation,individual,12000,36,9.92,386.76,B,B2,Feb-2018,Current,whole,Cash,10835.42,1533.81,1164.58,369.23,0
certified pharmacy tech,2,VA,MORTGAGE,48000,Verified,24.53,NA,,NA,0,NA,2007,0,8,7,47209,35193,0,0,NA,0,0,2,3,21,7,0,0,2,2900,5,5,5,0,100,0,0,debt_consolidation,individual,9000,36,21.85,343.02,D,D5,Mar-2018,Current,fractional,Cash,8638.45,729.74,361.55,368.19,0
data analyst,5,AZ,RENT,40000,Verified,19.62,NA,,NA,0,NA,2011,10,15,9,34937,24973,0,0,NA,0,0,4,10,3,9,0,0,1,7800,5,5,1,0,100,0,0,debt_consolidation,individual,10000,60,19.03,259.58,D,D3,Feb-2018,Current,whole,Cash,9586.3,1027.75,413.7,614.05,0
police officer,7,NY,OWN,130000,Not Verified,15.26,NA,,NA,0,NA,2001,2,21,12,125441,54929,0,0,NA,0,0,4,6,9,12,0,0,3,27000,15,8,4,0,95.2,0,0,credit_card,individual,19000,36,6.71,584.15,A,A3,Feb-2018,Current,whole,Cash,17558.24,1763.08,1441.76,321.32,0
accountant,10,VA,MORTGAGE,185000,Not Verified,12.56,NA,,NA,0,25,1974,1,57,28,556875,35459,0,0,54,0,0,1,17,9,28,0,0,4,10900,55,26,25,1,64.7,0,0,debt_consolidation,individual,20000,36,11.98,664.1,B,B5,Feb-2018,Current,whole,Cash,18592.74,1978.99,1407.26,571.73,0
sr software engineer,10,MN,MORTGAGE,85000,Source Verified,27.12,NA,,NA,0,66,1995,0,27,17,420071,70027,0,0,NA,0,249,2,3,NA,17,0,0,4,19500,20,12,10,2,96.3,0,0,credit_card,individual,30000,36,11.99,996.29,B,B5,Feb-2018,Current,fractional,Cash,27171.8,3965.18,2828.2,1136.98,0
special agent,9,CA,MORTGAGE,132900,Verified,14.54,NA,,NA,0,NA,2002,4,42,10,742438,104343,0,1,NA,0,0,3,9,0,10,0,0,3,22500,12,6,3,7,100,0,1,debt_consolidation,individual,26000,60,25.82,775.69,E,E4,Jan-2018,Current,whole,Cash,24871.17,3859.8,1128.83,2730.97,0
,NA,NJ,MORTGAGE,45000,Source Verified,11.92,NA,,NA,1,15,2001,0,10,5,173343,11026,1,0,15,0,0,1,0,NA,5,0,0,1,14500,6,3,1,1,77.8,0,0,debt_consolidation,individual,10000,36,9.44,320.05,B,B1,Jan-2018,Current,fractional,Cash,8773.94,1595.01,1226.06,368.95,0
manager,10,IL,MORTGAGE,84000,Source Verified,26.89,NA,,NA,0,NA,1998,0,30,16,254832,67566,0,0,NA,0,0,3,2,14,16,0,0,8,80800,16,12,10,4,100,0,0,debt_consolidation,individual,40000,36,5.32,1204.6,A,A1,Feb-2018,Current,whole,DirectPay,35863.53,4806.58,4136.47,670.11,0
acupuncturist,10,NY,RENT,70000,Source Verified,26.62,NA,,NA,0,29,1997,0,30,14,194751,202876,0,0,29,0,0,4,0,NA,14,0,0,4,17300,22,9,9,0,96.7,0,0,credit_card,individual,10000,36,13.58,339.74,C,C2,Mar-2018,Current,fractional,Cash,9312.56,1004.13,687.44,316.69,0
rotary operator,3,MI,MORTGAGE,40000,Verified,36.54,NA,,NA,0,NA,2010,1,28,19,209342,60072,0,0,NA,0,0,11,5,5,19,0,0,2,12100,11,7,3,1,100,0,0,debt_consolidation,individual,13000,36,12.61,435.59,C,C1,Mar-2018,Current,whole,DirectPay,12398.89,862.07,601.11,260.96,0
hr generalist,6,AZ,MORTGAGE,59000,Not Verified,13.2,NA,,NA,0,NA,2006,0,9,5,125014,21796,0,0,NA,0,0,1,0,NA,5,0,0,1,11800,6,3,2,1,100,0,0,credit_card,individual,7200,36,6.08,219.3,A,A2,Jan-2018,Current,whole,Cash,6276.59,1094.07,923.41,170.66,0
sarety security officer,10,NY,RENT,70000,Verified,31.17,NA,,NA,0,NA,2006,2,37,17,86772,49850,0,1,NA,0,0,6,8,0,17,0,0,5,17200,15,11,11,0,100,0,1,credit_card,individual,8000,36,13.59,271.84,C,C2,Jan-2018,Current,whole,Cash,7262.63,1081.32,737.37,343.95,0
loan officer,0,TX,OWN,198999,Not Verified,11.63,NA,,NA,1,12,2002,3,18,9,94094,72617,0,0,NA,0,1848,3,3,2,9,0,0,4,17300,6,6,6,2,88.9,0,0,debt_consolidation,individual,25000,60,9.93,530.32,B,B2,Mar-2018,Current,fractional,DirectPay,24021.61,1577.17,978.39,598.78,0
manager financial analysis & planning,8,MN,MORTGAGE,93000,Not Verified,29.91,NA,,NA,0,NA,1998,2,32,12,386944,113313,0,0,NA,0,0,3,2,2,12,0,0,4,39100,17,8,5,5,100,0,0,credit_card,individual,15000,60,12.61,338.31,C,C1,Mar-2018,Current,whole,Cash,14452.23,1004.42,547.77,456.65,0
hr specialist,8,CA,MORTGAGE,52000,Not Verified,5.89,NA,,NA,0,NA,2008,1,19,11,196450,6563,0,1,NA,0,0,1,5,3,11,0,0,2,18200,16,9,4,1,100,0,1,credit_card,individual,1200,36,9.44,38.41,B,B1,Feb-2018,Current,whole,Cash,1082.75,153.01,117.25,35.76,0
president,7,VA,MORTGAGE,135000,Not Verified,20.42,NA,,NA,0,NA,2007,3,25,10,468177,114305,0,4,NA,0,0,1,8,5,10,0,0,1,12000,13,7,4,1,100,3,1,debt_consolidation,individual,20000,36,9.93,644.69,B,B2,Feb-2018,Current,fractional,Cash,18059.32,2551.18,1940.68,610.5,0
team leader,0,CA,RENT,120000,Not Verified,11.33,NA,,NA,0,81,1996,1,22,9,62284,44436,0,1,81,0,0,1,5,9,9,0,0,3,20300,15,7,4,2,95.2,0,1,debt_consolidation,individual,28000,36,13.59,951.41,C,C2,Feb-2018,Current,fractional,DirectPay,25419.33,3763.36,2580.67,1182.69,0
teacher aid ,0,CA,MORTGAGE,25000,Source Verified,31.45,70000,Not Verified,24.3,0,NA,2006,1,49,22,404737,29920,0,0,NA,0,340,2,10,6,22,0,0,1,15100,41,19,3,3,100,0,0,debt_consolidation,joint,5000,36,18.45,181.9,D,D2,Mar-2018,Current,fractional,Cash,4680.06,535.45,319.94,215.51,0
nurse practitioner ,0,SC,MORTGAGE,105000,Source Verified,21.68,175000,Source Verified,13.67,0,36,1982,2,49,14,720131,301518,0,0,NA,0,0,5,6,1,14,0,0,3,33000,12,8,4,1,95.7,0,0,debt_consolidation,joint,36000,36,9.93,1160.44,B,B2,Jan-2018,Current,whole,Cash,31615.33,5861.78,4384.67,1477.11,0
senior accountant,0,OR,MORTGAGE,120000,Not Verified,10.8,NA,,NA,0,NA,2007,2,44,27,428094,117193,0,0,NA,0,0,16,6,3,27,0,0,2,46300,13,9,3,2,100,0,0,credit_card,individual,2400,36,7.96,75.17,A,A5,Mar-2018,Current,whole,Cash,2221.07,224.45,178.93,45.52,0
sales manager,5,FL,RENT,60000,Source Verified,14.36,NA,,NA,0,47,2003,0,9,5,35539,22281,0,1,NA,0,0,4,2,18,5,0,0,0,0,2,1,0,0,66.7,1,0,small_business,individual,6000,36,14.08,205.3,C,C3,Jan-2018,Current,fractional,Cash,5309.48,1017.11,690.52,326.59,0
receptionist,1,WA,RENT,30163,Verified,27.7,NA,,NA,0,NA,2015,0,9,7,44062,31396,0,0,NA,0,0,2,7,16,7,0,0,4,12300,5,5,5,0,100,0,0,debt_consolidation,individual,26000,60,26.77,790.35,E,E5,Mar-2018,Current,whole,Cash,25574.64,1542.03,425.36,1116.67,0
parts delivery person,3,PA,OWN,32340,Not Verified,37.63,61340,Not Verified,25.35,2,16,1998,0,27,13,66561,25960,0,0,NA,0,1281,3,8,16,13,0,0,7,30600,13,10,7,0,81.5,0,0,credit_card,joint,10000,60,12.62,225.6,C,C1,Feb-2018,Current,whole,Cash,9510.61,884.87,489.39,395.48,0
lab manager/ dental assistant,10,TN,RENT,38000,Not Verified,17.53,NA,,NA,0,NA,2005,0,14,7,33624,13236,0,0,NA,0,3823,1,2,23,7,0,0,3,11700,11,6,4,0,100,0,0,debt_consolidation,individual,10000,36,16.02,351.67,C,C5,Feb-2018,Current,whole,Cash,9109.69,1388.88,890.31,498.57,0
program officer,0,NC,RENT,73000,Not Verified,10.83,NA,,NA,3,23,2003,2,26,8,56410,45378,2,0,13,0,170,2,4,8,8,NA,0,2,11750,12,6,4,0,81,0,0,credit_card,individual,8000,36,6.07,243.63,A,A2,Feb-2018,Current,whole,Cash,7123.34,1028.82,876.66,152.16,0
master system tech,2,TX,RENT,170000,Source Verified,4.85,NA,,NA,2,14,2010,2,23,17,36583,22721,0,0,36,0,0,1,6,6,17,0,0,4,12800,17,15,8,1,90.9,0,0,credit_card,individual,9000,36,9.43,288.01,B,B1,Mar-2018,Current,whole,Cash,8343.01,859.31,656.99,202.32,0
notary,8,VA,RENT,76800,Source Verified,5.25,NA,,NA,0,NA,2014,1,10,9,16432,7977,0,0,NA,0,0,1,7,8,9,0,0,6,11200,9,8,6,0,100,0,0,debt_consolidation,individual,8000,36,18.45,291.03,D,D2,Mar-2018,Current,fractional,Cash,7488.12,864.89,511.88,353.01,0
financial advisor,0,MI,MORTGAGE,110000,Not Verified,12.67,NA,,NA,0,NA,1997,1,18,12,295797,62341,0,0,NA,0,0,5,4,8,12,0,0,4,42400,6,5,5,4,100,0,0,debt_consolidation,individual,15000,60,10.42,321.82,B,B3,Jan-2018,Current,whole,Cash,14025.37,1600.42,974.63,625.79,0
parking manager ,2,CA,RENT,40000,Verified,28.09,NA,,NA,0,31,2005,2,19,7,33282,11808,0,0,31,0,0,3,2,4,7,0,0,3,6900,12,4,4,0,84.2,0,0,debt_consolidation,individual,4800,36,18.45,174.62,D,D2,Mar-2018,Current,fractional,Cash,4492.87,518.94,307.13,211.81,0
,NA,OH,RENT,42000,Source Verified,4.21,105000,Source Verified,22.56,0,69,2003,0,23,8,19700,1498,0,0,69,0,427,0,1,NA,8,0,0,0,8700,23,8,2,0,100,0,0,debt_consolidation,joint,25000,36,24.84,991.89,E,E3,Mar-2018,Current,whole,Cash,23547.17,2941.17,1452.83,1488.34,0
engineer,0,OH,RENT,98000,Source Verified,10.74,NA,,NA,0,NA,2011,0,25,22,128452,64490,0,0,NA,0,0,13,10,14,22,0,0,3,55600,10,9,3,0,100,0,0,debt_consolidation,individual,40000,36,7.34,1241.32,A,A4,Mar-2018,Current,whole,Cash,36991.71,3707.65,3008.29,699.36,0
dental assistant,10,TN,MORTGAGE,83000,Not Verified,12.61,NA,,NA,0,60,2002,1,18,9,304258,33365,0,1,NA,0,0,1,2,11,9,0,0,1,20000,9,7,4,4,94.4,0,1,other,individual,10000,60,10.9,216.93,B,B4,Feb-2018,Current,whole,Cash,9488.7,855.61,511.3,344.31,0
